"프로젝트","PM","상태","계획진척률","구분","과제명","담당자","시작일","종료일","산출물","진행률","비고(가중치)"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.3.2 High/Medium 예외 목록과 담당자 알림","개발","2026-08-31","2026-09-04","알림 센터·리스크 대시보드","5","45"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","대과제","2.4 리포트·전문가·운영자 기능","제품·개발","2026-08-31","2026-09-11","월간 리포트·티켓·운영자 화면","5","15"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.4.1 결재권자용 월간 리스크 리포트 생성·공유","개발","2026-08-31","2026-09-08","월간 리스크 리포트","10","60"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.4.2 전문가 확인 요청과 운영자 처리 상태 관리","개발·운영","2026-09-03","2026-09-11","전문가 티켓·운영자 화면","0","40"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","대과제","2.5 QA·PoC 배포","QA·개발","2026-09-07","2026-09-18","테스트 결과·PoC 릴리스","0","10"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.5.1 핵심 여정·권한·데이터 격리 테스트","QA","2026-09-07","2026-09-15","테스트 결과","0","55"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.5.2 스테이징 배포·샘플 제거·PoC 계정 발급","개발·운영","2026-09-14","2026-09-18","PoC 릴리스·배포 체크리스트","0","45"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","대과제","3.1 초대·다국어 온보딩","제품·개발","2026-08-13","2026-08-25","초대 퍼널·온보딩·동의","45","20"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.1.1 VisaDesk 근로자 초대 링크·접속·언어 선택","개발","2026-08-13","2026-08-21","초대 링크·언어 선택","40","50"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.1.2 서비스 동의·개인정보 안내·참고용 고지","제품·개발","2026-08-17","2026-08-25","동의·고지 화면","35","50"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","대과제","3.2 환급·출국정산 셀프 체크","제품·개발","2026-08-17","2026-09-01","환급 결과·출국정산 체크리스트","35","30"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.2.1 연금·퇴직금·출국보험 등 항목별 입력·추정 안내","제품·개발","2026-08-17","2026-08-27","환급 셀프 체크 결과","35","60"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.2.2 준비서류·신청시점·공식기관 링크 제공","제품","2026-08-24","2026-09-01","출국정산 체크리스트","25","40"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","대과제","3.3 급여·금융 준비도 흐름","제품·개발","2026-08-24","2026-09-08","급여 셀프 체크·동의 증적","10","20"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.3.1 계약·입력값 기반 급여 차이 셀프 체크","제품·개발","2026-08-24","2026-09-03","급여 셀프 체크","15","55"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.3.2 목적·기관·필드별 금융 제공 동의 흐름","제품·개발","2026-08-31","2026-09-08","금융 준비도·동의 증적","5","45"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","대과제","3.4 VisaDesk 연계·전환 계측","개발·데이터","2026-08-31","2026-09-11","퍼널 이벤트·집계 대시보드","5","15"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.4.1 회사 초대→가입→셀프 체크 전환 이벤트 연결","개발·데이터","2026-08-31","2026-09-08","전환 이벤트","10","60"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.4.2 기업 화면에 집계형 참여 현황 제공","개발","2026-09-03","2026-09-11","참여 현황 집계","0","40"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","대과제","3.5 QA·PoC 배포","QA·개발","2026-09-07","2026-09-18","테스트 결과·PoC 릴리스","15","15"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.5.1 다국어·모바일·접근성·금지표현 점검","QA·컴플라이언스","2026-09-07","2026-09-15","QA·표현 점검 결과","5","55"
"[구버전·폐기] 3. BackWon 앱·웹 MVP","제품·개발팀","주의","35","상세","3.5.2 BackWon 브랜딩·도메인·PoC 버전 배포","개발·운영","2026-09-14","2026-09-18","PoC 릴리스·운영 가이드","20","45"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","대과제","4.1 ForeignID L1 보조형 확인","개발·운영","2026-08-17","2026-09-04","L1 확인 흐름·검수 화면","15","30"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.1.1 여권·셀카 업로드와 기본 OCR 필드 추출","개발","2026-08-17","2026-08-28","업로드·OCR 필드","20","60"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.1.2 운영자 확인·재요청·상태 이력","개발·운영","2026-08-26","2026-09-04","운영자 검수 화면","5","40"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","대과제","4.2 공통 데이터 모델·동의센터","개발·제품","2026-08-17","2026-09-08","DB 스키마·동의 레코드","20","30"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.2.1 기업·근로자·서류·체류·고용·체크 결과 스키마","개발","2026-08-17","2026-08-31","DB 스키마·데이터 사전","20","55"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.2.2 목적·기관·필드·기간별 동의 및 철회 이력","개발·제품","2026-08-24","2026-09-08","동의·철회 레코드","10","45"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","대과제","4.3 개인정보·보안 통제","보안·개발","2026-08-24","2026-09-11","보안 체크리스트·권한표","10","25"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.3.1 최소수집·마스킹·암호화·역할별 접근통제","보안·개발","2026-08-24","2026-09-04","권한표·접근통제","10","60"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.3.2 감사로그·보관/파기·테스트 데이터 정책","보안·운영","2026-08-31","2026-09-11","감사로그·보관/파기 정책","5","40"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","대과제","4.4 연동·운영 백업","개발·운영","2026-09-01","2026-09-18","연동 API·수동 검수·장애 런북","5","15"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.4.1 VisaDesk·BackWon 공통 ID와 초대·동의 상태 연동","개발","2026-09-01","2026-09-11","연동 API","5","60"
"[구버전·폐기] 4. ForeignID·공통 데이터·보안","제품·개발팀","정상","15","상세","4.4.2 OCR·룰 실패 시 사람 검수와 장애 대응 런북","운영·개발","2026-09-08","2026-09-18","수동 검수 큐·장애 런북","0","40"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","대과제","5.1 모집·계약·PoC 준비","GTM·사업기획","2026-08-24","2026-09-18","타깃 리스트·LOI·PoC Charter","15","20"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.1.1 ICP 타깃 45~60사 파이프라인과 파일럿 1~2사 LOI","GTM","2026-08-24","2026-09-11","타깃 리스트·LOI","10","60"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.1.2 범위·제외·KPI·데이터 책임을 담은 PoC Charter","사업기획·GTM","2026-09-01","2026-09-18","PoC Charter·킥오프 자료","20","40"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","대과제","5.2 W1~W2 활성화 검증","제품·CS·GTM","2026-09-21","2026-10-02","15사·근로자 300명·첫 리스크 확인","0","20"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.2.1 2개 코호트 15사 온보딩 및 근로자 300명 등록","CS·GTM","2026-09-21","2026-10-02","온보딩·등록 현황","0","55"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.2.2 첫 리스크 확인·TTV·업로드 완료율 측정","제품·데이터","2026-09-21","2026-10-02","G1 활성화 리포트","0","45"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","대과제","5.3 W3~W4 가치·지불의사 검증","제품·GTM","2026-10-05","2026-10-16","전문가 티켓·월간 리포트·가격실험","0","25"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.3.1 High 예외 조치와 전문가 티켓 운영","운영·전문가","2026-10-05","2026-10-16","High 조치·티켓 현황","0","45"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.3.2 첫 월간 리포트 열람 및 가격·메시지 실험","제품·GTM","2026-10-12","2026-10-16","G2 가치·WTP 리포트","0","55"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","대과제","5.4 W5~W8 반복사용·유료전환","GTM·제품·운영","2026-10-19","2026-11-13","유료전환 8사·매출 300만원","0","25"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.4.1 주간 알림·2회차 리포트·BackWon 초대 전환 측정","제품·데이터","2026-10-19","2026-11-06","반복사용·초대 전환 지표","0","45"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.4.2 요금제 선택·계약·운영 공수 검증","GTM·운영","2026-10-26","2026-11-13","유료계약·매출·운영공수","0","55"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","대과제","5.5 종료평가·다음 단계","신사업 책임자","2026-11-09","2026-11-13","PoC 결과·백로그·확대/피벗 결정","0","10"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.5.1 KPI·VOC·버그·운영원가 회고","제품·데이터","2026-11-09","2026-11-13","PoC 결과보고서","0","50"
"[구버전·폐기] 5. 8주 PoC·유료전환","신사업·GTM팀","주의","10","상세","5.5.2 100사 확대 GO/NO-GO와 우선순위 확정","신사업 책임자","2026-11-13","2026-11-13","확대/피벗 결정·백로그","0","50"
